max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,cover,state,control,type,subject
217,154,182.9907407,183,119.0372966,1314,19763,5.995049505,5.15819209,5.577248656,5.587434305,0.032484551,19.51339266,602.3428549,6.717514124,5.626728111,6.204953436,6.201243761,0.033285102,16.46926844,670.134971,none,static,bot,notouch,A
222,156,185.6851852,185,153.4887504,1562,20054,5.884816754,5.022099448,5.552029334,5.552292826,0.029090809,19.89656919,599.6191681,6.681081081,5.770408163,6.199128991,6.172719298,0.041826707,18.99564937,669.505931,none,static,bot,notouch,A
209,154,184.25,185,121.1238318,1263,19899,5.983957219,5.170854271,5.576696368,5.565031655,0.036396504,18.1437099,602.2832078,6.649425287,5.583756345,6.171362089,6.176379115,0.040565926,19.55491095,666.5071056,none,static,bot,notouch,A
1126,146,339.2777778,309,31109.41745,7379,36642,5.514124294,4.007619048,4.685086017,4.662430649,0.145424749,19.92010581,505.9892898,6.413551402,4.886904762,5.629247133,5.654519331,0.128606638,19.65687991,607.9586903,none,static,bot,pat,A
835,162,352.4814815,305,30705.22395,5966,38068,5.551515152,3.90569395,4.701376066,4.662478083,0.190474611,20.95340853,507.7486151,6.31684492,4.974619289,5.712772761,5.734460888,0.081344402,20.66835319,616.9794581,none,static,bot,pat,A
923,138,356.3703704,242.5,46561.56248,7315,38488,5.742138365,4.328282828,5.116476158,5.113209789,0.099511382,19.00293616,552.5794251,6.349081365,4.3625,5.623741996,5.666022071,0.163190919,24.2789174,607.3641356,none,static,bot,pat,A
763,141,307.5185185,203,27725.35479,5626,33212,5.868571429,4.621231979,5.188541927,5.217667566,0.094391606,20.86196317,560.3625281,6.176296296,4.965517241,5.536771358,5.502389742,0.113030448,22.07931994,597.9713067,none,static,bot,pat,A
1275,302,790.5740741,853,103898.172,6964,85382,5.403050109,3.883647799,4.682162317,4.65979007,0.124511984,9.722187994,505.6735302,6.936507937,4.405384006,5.826756324,5.86412055,0.452476736,14.0902812,629.289683,none,static,bot,rub,A
1417,342,685.5,676.5,47513.80374,6595,74034,5.37826087,4.012406948,4.668039739,4.658964981,0.078419612,10.68263324,504.1482918,7.011235955,4.428060129,5.98976837,6.093034128,0.435567436,14.09446347,646.8949839,none,static,bot,rub,A
1311,380,806.2407407,843,61704.1658,6273,87074,5.341836735,4.27479092,4.844004337,4.874366999,0.053842732,9.858996983,523.1524684,7.213333333,4.563148789,6.055158337,6.197567271,0.56288758,12.37419107,653.9571004,none,static,bot,rub,A
